artist,title,date
"""LUMP""","""May I Be The Light""",2023-01-01T17:34:24.959095
"""Kevin Morby""","""This Is a Photograph""",2023-01-01T17:34:24.983002
"""El Dragon Criollo""","""Cumbia Fantasia""",2023-01-01T17:34:26.748895
"""Ruler of Program""","""Lose It""",2023-01-01T17:34:28.265809
"""*repeat repeat""","""Everybody's Falling in Love""",2023-01-01T17:34:28.287755
"""Otis McDonald""","""Keep it Sexy""",2023-01-01T17:34:29.801773
"""Sadurn""","""snake""",2023-01-01T17:34:31.305721
"""Juliana Hatfield""","""It's So Weird""",2023-01-01T17:34:31.324672
"""Mitski""","""The Only Heartbreaker""",2023-01-01T17:34:32.838622
"""La Dame Blanche""","""Mata Sede""",2023-01-01T17:34:32.867546
"""Geese""","""Low Era""",2023-01-01T17:34:34.378506
"""Neko Case""","""Oh, Shadowless""",2023-01-01T17:34:35.907416
"""Eyedentity""","""País Da Maravilha (Wonderland)""",2023-01-01T17:34:35.931381
"""Ian George""","""The Wild and The Untamed""",2023-01-01T17:34:37.453326
"""Khana Bierbood""","""ลูกรัง /Dusty Lane""",2023-01-01T17:34:37.472265
"""Jana Horn""","""Optimism""",2023-01-01T17:34:38.972251
"""Keys N Krates""","""Original Classic""",2023-01-01T17:34:40.485176
"""Woolfy""","""Shooting Stars""",2023-01-01T17:34:40.509142
"""Bruce Hornsby""","""Days Ahead feat. Danielle Haim""",2023-01-01T17:34:42.057969
"""Yonder Mountain String Band""","""Into The Fire""",2023-01-01T17:34:43.572919
"""Ian Noe""","""Pine Grove (Madhouse)""",2023-01-01T17:34:43.592865
"""Katy Vernon""","""Undertow""",2023-01-01T17:34:45.101839
"""Qlowski""","""Folk Song""",2023-01-01T17:34:45.124799
"""Momma""","""Rockstar""",2023-01-01T17:34:46.635773
"""Purple Funk Metropolis""","""Tres Leches""",2023-01-01T17:34:46.656724
"""Betty Davis""","""Come Take Me""",2023-01-01T17:34:48.176718
"""Biggabush""","""Black Swan Revival""",2023-01-01T17:34:49.685706
"""Bambara""","""Birds""",2023-01-01T17:34:51.205611
"""Quinton Brock""","""There For You""",2023-01-01T17:34:51.224591
"""Ingrid Chavez""","""Snow-Blind""",2023-01-01T17:34:52.743505
"""Oh Sees""","""C""",2023-01-01T17:34:54.251525
"""Bombino""","""Timtar (Live)""",2023-01-01T17:34:54.272469
"""TV Girl x Jordana""","""Jump the Turnstile""",2023-01-01T17:34:55.781434
"""The Midnight Hour""","""Jazz Is Dead (Georgia Anne Muldrow Geemix)""",2023-01-01T17:34:57.303398
"""Waahli""","""DERIVE""",2023-01-01T17:34:57.323311
"""Zola Jesus""","""The Fall""",2023-01-01T17:34:58.832276
"""Ben Zaidi""","""Jerusalem.""",2023-01-01T17:35:00.343303
"""The Nunnery""","""Floating Garden""",2023-01-01T17:35:01.861239
"""Angélica Garcia""","""Llorona""",2023-01-01T17:35:01.883152
"""Goon Sax""","""Make Time 4 Love""",2023-01-01T17:35:03.400096
"""Mondo Cozmo""","""Meant For Livin""",2023-01-01T17:35:04.907066
"""Farmer Dave & The Wizards of the West""","""Ohana""",2023-01-01T17:35:04.927013
"""Julia Jacklin""","""Lydia Wears A Cross""",2023-01-01T17:35:06.439999
"""Metronomy""","""It's Good To Be Back""",2023-01-01T17:35:07.947933
"""Just Mustard""","""Still""",2023-01-01T17:35:09.462918
"""Parris""","""Skater's World""",2023-01-01T17:35:09.486818
"""The Shackletons""","""Happy Boring Life""",2023-01-01T17:35:10.997842
